"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","MUNICIPIO",3514502,"0,748",NA,NA,NA
"2015","MUNICIPIO",3514601,"0,744",NA,NA,NA
"2015","MUNICIPIO",3514700,"0,745",NA,NA,NA
"2015","MUNICIPIO",3514809,"0,684",NA,NA,NA
"2015","MUNICIPIO",3514809,"0,691",NA,NA,NA
"2015","MUNICIPIO",3514908,"0,695",NA,NA,NA
"2015","MUNICIPIO",3514924,"0,747",NA,NA,NA
"2015","MUNICIPIO",3514957,"0,73",NA,NA,NA
"2015","MUNICIPIO",3515004,"0,735",NA,NA,NA
"2015","MUNICIPIO",3515103,"0,749",NA,NA,NA
"2015","MUNICIPIO",3515129,"0,727",NA,NA,NA
"2015","MUNICIPIO",3515152,"0,732",NA,NA,NA
"2015","MUNICIPIO",3515186,"0,787",NA,NA,NA
"2015","MUNICIPIO",3515194,"0,696",NA,NA,NA
"2015","MUNICIPIO",3557303,"0,74",NA,NA,NA
"2015","MUNICIPIO",3515301,"0,707",NA,NA,NA
"2015","MUNICIPIO",3515301,"0,74",NA,NA,NA
"2015","MUNICIPIO",3515202,"0,76",NA,NA,NA
"2015","MUNICIPIO",3515350,"0,704",NA,NA,NA
"2015","MUNICIPIO",3515400,"0,732",NA,NA,NA
"2015","MUNICIPIO",3515608,"0,758",NA,NA,NA
"2015","MUNICIPIO",3515509,"0,797",NA,NA,NA
"2015","MUNICIPIO",3515657,"0,703",NA,NA,NA
"2015","MUNICIPIO",3515707,"0,738",NA,NA,NA
"2015","MUNICIPIO",3515806,"0,727",NA,NA,NA
"2015","MUNICIPIO",3515905,"0,747",NA,NA,NA
"2015","MUNICIPIO",3516002,"0,715",NA,NA,NA
"2015","MUNICIPIO",3516101,"0,713",NA,NA,NA
"2015","MUNICIPIO",3516200,"0,78",NA,NA,NA
"2015","MUNICIPIO",3516309,"0,703",NA,NA,NA
"2015","MUNICIPIO",3516408,"0,731",NA,NA,NA
"2015","MUNICIPIO",3516507,"0,763",NA,NA,NA
"2015","MUNICIPIO",3516606,"0,709",NA,NA,NA
"2015","MUNICIPIO",3516705,"0,769",NA,NA,NA
"2015","MUNICIPIO",3516804,"0,723",NA,NA,NA
"2015","MUNICIPIO",3516853,"0,719",NA,NA,NA
"2015","MUNICIPIO",3516903,"0,747",NA,NA,NA
"2015","MUNICIPIO",3517000,"0,717",NA,NA,NA
"2015","MUNICIPIO",3517109,"0,735",NA,NA,NA
"2015","MUNICIPIO",3517208,"0,739",NA,NA,NA
"2015","MUNICIPIO",3517307,"0,728",NA,NA,NA
"2015","MUNICIPIO",3517406,"0,724",NA,NA,NA
"2015","MUNICIPIO",3517406,"0,753",NA,NA,NA
"2015","MUNICIPIO",3517505,"0,725",NA,NA,NA
"2015","MUNICIPIO",3517604,"0,675",NA,NA,NA
"2015","MUNICIPIO",3517703,"0,718",NA,NA,NA
"2015","MUNICIPIO",3517802,"0,719",NA,NA,NA
"2015","MUNICIPIO",3517901,"0,698",NA,NA,NA
"2015","MUNICIPIO",3517901,"0,737",NA,NA,NA
"2015","MUNICIPIO",3518008,"0,732",NA,NA,NA
"2015","MUNICIPIO",3518107,"0,713",NA,NA,NA
"2015","MUNICIPIO",3518206,"0,763",NA,NA,NA
"2015","MUNICIPIO",3518305,"0,731",NA,NA,NA
"2015","MUNICIPIO",3518404,"0,798",NA,NA,NA
"2015","MUNICIPIO",3518503,"0,687",NA,NA,NA
"2015","MUNICIPIO",3518602,"0,719",NA,NA,NA
"2015","MUNICIPIO",3518701,"0,751",NA,NA,NA
"2015","MUNICIPIO",3518800,"0,763",NA,NA,NA
"2015","MUNICIPIO",3518859,"0,743",NA,NA,NA
"2015","MUNICIPIO",3518909,"0,697",NA,NA,NA
"2015","MUNICIPIO",3519006,"0,727",NA,NA,NA
"2015","MUNICIPIO",3519055,"0,793",NA,NA,NA
"2015","MUNICIPIO",3519071,"0,756",NA,NA,NA
"2015","MUNICIPIO",3519105,"0,745",NA,NA,NA
"2015","MUNICIPIO",3519204,"0,733",NA,NA,NA
"2015","MUNICIPIO",3519253,"0,674",NA,NA,NA
"2015","MUNICIPIO",3519303,"0,703",NA,NA,NA
"2015","MUNICIPIO",3519402,"0,74",NA,NA,NA
"2015","MUNICIPIO",3519501,"0,708",NA,NA,NA
"2015","MUNICIPIO",3519600,"0,747",NA,NA,NA
"2015","MUNICIPIO",3519709,"0,71",NA,NA,NA
"2015","MUNICIPIO",3519808,"0,72",NA,NA,NA
"2015","MUNICIPIO",3519907,"0,736",NA,NA,NA
"2015","MUNICIPIO",3520004,"0,727",NA,NA,NA
"2015","MUNICIPIO",3520103,"0,768",NA,NA,NA
"2015","MUNICIPIO",3520202,"0,711",NA,NA,NA
"2015","MUNICIPIO",3520301,"0,726",NA,NA,NA
"2015","MUNICIPIO",3520426,"0,725",NA,NA,NA
"2015","MUNICIPIO",3520442,"0,812",NA,NA,NA
"2015","MUNICIPIO",3520400,"0,756",NA,NA,NA
"2015","MUNICIPIO",3520509,"0,788",NA,NA,NA
"2015","MUNICIPIO",3520608,"0,761",NA,NA,NA
"2015","MUNICIPIO",3520707,"0,751",NA,NA,NA
"2015","MUNICIPIO",3520806,"0,759",NA,NA,NA
"2015","MUNICIPIO",3520905,"0,727",NA,NA,NA
"2015","MUNICIPIO",3521002,"0,719",NA,NA,NA
"2015","MUNICIPIO",3521101,"0,753",NA,NA,NA
"2015","MUNICIPIO",3521150,"0,73",NA,NA,NA
"2015","MUNICIPIO",3521200,"0,703",NA,NA,NA
"2015","MUNICIPIO",3521309,"0,749",NA,NA,NA
"2015","MUNICIPIO",3521408,"0,776",NA,NA,NA
"2015","MUNICIPIO",3521507,"0,713",NA,NA,NA
"2015","MUNICIPIO",3521606,"0,712",NA,NA,NA
"2015","MUNICIPIO",3521705,"0,693",NA,NA,NA
"2015","MUNICIPIO",3521804,"0,713",NA,NA,NA
"2015","MUNICIPIO",3521903,"0,73",NA,NA,NA
"2015","MUNICIPIO",3522000,"0,705",NA,NA,NA
"2015","MUNICIPIO",3522109,"0,745",NA,NA,NA
"2015","MUNICIPIO",3522158,"0,68",NA,NA,NA
"2015","MUNICIPIO",3522208,"0,742",NA,NA,NA
"2015","MUNICIPIO",3522307,"0,763",NA,NA,NA
"2015","MUNICIPIO",3522406,"0,72",NA,NA,NA
"2015","MUNICIPIO",3522406,"0,732",NA,NA,NA
"2015","MUNICIPIO",3522505,"0,735",NA,NA,NA
"2015","MUNICIPIO",3522604,"0,762",NA,NA,NA
"2015","MUNICIPIO",3522653,"0,661",NA,NA,NA
"2015","MUNICIPIO",3522703,"0,744",NA,NA,NA
"2015","MUNICIPIO",3522802,"0,615",NA,NA,NA
"2015","MUNICIPIO",3522802,"0,719",NA,NA,NA
"2015","MUNICIPIO",3522901,"0,725",NA,NA,NA
"2015","MUNICIPIO",3523008,"0,72",NA,NA,NA
"2015","MUNICIPIO",3523107,"0,714",NA,NA,NA
"2015","MUNICIPIO",3523206,"0,703",NA,NA,NA
"2015","MUNICIPIO",3523305,"0,677",NA,NA,NA
"2015","MUNICIPIO",3523404,"0,778",NA,NA,NA
"2015","MUNICIPIO",3523503,"0,706",NA,NA,NA
"2015","MUNICIPIO",3523602,"0,724",NA,NA,NA
"2015","MUNICIPIO",3523701,"0,707",NA,NA,NA
"2015","MUNICIPIO",3523800,"0,717",NA,NA,NA
"2015","MUNICIPIO",3523909,"0,773",NA,NA,NA
"2015","MUNICIPIO",3524006,"0,762",NA,NA,NA
"2015","MUNICIPIO",3524105,"0,765",NA,NA,NA
"2015","MUNICIPIO",3524204,"0,613",NA,NA,NA
"2015","MUNICIPIO",3524204,"0,711",NA,NA,NA
"2015","MUNICIPIO",3524303,"0,778",NA,NA,NA
"2015","MUNICIPIO",3524402,"0,777",NA,NA,NA
"2015","MUNICIPIO",3524501,"0,723",NA,NA,NA
"2015","MUNICIPIO",3524600,"0,717",NA,NA,NA
"2015","MUNICIPIO",3524709,"0,784",NA,NA,NA
"2015","MUNICIPIO",3524808,"0,776",NA,NA,NA
"2015","MUNICIPIO",3524907,"0,756",NA,NA,NA
"2015","MUNICIPIO",3525003,"0,76",NA,NA,NA
"2015","MUNICIPIO",3525102,"0,709",NA,NA,NA
"2015","MUNICIPIO",3525102,"0,735",NA,NA,NA
"2015","MUNICIPIO",3525201,"0,733",NA,NA,NA
"2015","MUNICIPIO",3525300,"0,778",NA,NA,NA
"2015","MUNICIPIO",3525409,"0,703",NA,NA,NA
"2015","MUNICIPIO",3525508,"0,699",NA,NA,NA
"2015","MUNICIPIO",3525607,"0,741",NA,NA,NA
"2015","MUNICIPIO",3525706,"0,777",NA,NA,NA
"2015","MUNICIPIO",3525805,"0,716",NA,NA,NA
"2015","MUNICIPIO",3525854,"0,741",NA,NA,NA
"2015","MUNICIPIO",3525904,"0,822",NA,NA,NA
"2015","MUNICIPIO",3526001,"0,745",NA,NA,NA
"2015","MUNICIPIO",3526100,"0,7",NA,NA,NA
"2015","MUNICIPIO",3526209,"0,709",NA,NA,NA
"2015","MUNICIPIO",3526308,"0,693",NA,NA,NA
"2015","MUNICIPIO",3526407,"0,729",NA,NA,NA
"2015","MUNICIPIO",3526506,"0,721",NA,NA,NA
"2015","MUNICIPIO",3526605,"0,729",NA,NA,NA
"2015","MUNICIPIO",3526704,"0,744",NA,NA,NA
"2015","MUNICIPIO",3526803,"0,764",NA,NA,NA
"2015","MUNICIPIO",3526902,"0,775",NA,NA,NA
"2015","MUNICIPIO",3527009,"0,742",NA,NA,NA
"2015","MUNICIPIO",3527108,"0,786",NA,NA,NA
"2015","MUNICIPIO",3527207,"0,766",NA,NA,NA
"2015","MUNICIPIO",3527256,"0,742",NA,NA,NA
"2015","MUNICIPIO",3527306,"0,777",NA,NA,NA
"2015","MUNICIPIO",3527405,"0,752",NA,NA,NA
"2015","MUNICIPIO",3527504,"0,733",NA,NA,NA
"2015","MUNICIPIO",3527603,"0,731",NA,NA,NA
"2015","MUNICIPIO",3527702,"0,702",NA,NA,NA
"2015","MUNICIPIO",3527801,"0,724",NA,NA,NA
"2015","MUNICIPIO",3527900,"0,72",NA,NA,NA
"2015","MUNICIPIO",3528007,"0,77",NA,NA,NA
"2015","MUNICIPIO",3528106,"0,743",NA,NA,NA
"2015","MUNICIPIO",3528205,"0,74",NA,NA,NA
"2015","MUNICIPIO",3528304,"0,753",NA,NA,NA
"2015","MUNICIPIO",3528403,"0,743",NA,NA,NA
"2015","MUNICIPIO",3528502,"0,788",NA,NA,NA
"2015","MUNICIPIO",3528601,"0,739",NA,NA,NA
"2015","MUNICIPIO",3528700,"0,677",NA,NA,NA
"2015","MUNICIPIO",3528809,"0,771",NA,NA,NA
"2015","MUNICIPIO",3528858,"0,752",NA,NA,NA
"2015","MUNICIPIO",3528908,"0,718",NA,NA,NA
"2015","MUNICIPIO",3529005,"0,798",NA,NA,NA
"2015","MUNICIPIO",3529104,"0,731",NA,NA,NA
"2015","MUNICIPIO",3529203,"0,721",NA,NA,NA
"2015","MUNICIPIO",3529302,"0,773",NA,NA,NA
"2015","MUNICIPIO",3529401,"0,766",NA,NA,NA
"2015","MUNICIPIO",3529500,"0,744",NA,NA,NA
"2015","MUNICIPIO",3529609,"0,731",NA,NA,NA
"2015","MUNICIPIO",3529658,"0,724",NA,NA,NA
"2015","MUNICIPIO",3529708,"0,741",NA,NA,NA
"2015","MUNICIPIO",3529807,"0,73",NA,NA,NA
"2015","MUNICIPIO",3530003,"0,743",NA,NA,NA
"2015","MUNICIPIO",3529906,"0,697",NA,NA,NA
"2015","MUNICIPIO",3530102,"0,751",NA,NA,NA
"2015","MUNICIPIO",3530201,"0,724",NA,NA,NA
"2015","MUNICIPIO",3530300,"0,762",NA,NA,NA
"2015","MUNICIPIO",3530409,"0,738",NA,NA,NA
"2015","MUNICIPIO",3530508,"0,762",NA,NA,NA
"2015","MUNICIPIO",3530607,"0,783",NA,NA,NA
"2015","MUNICIPIO",3530706,"0,774",NA,NA,NA
"2015","MUNICIPIO",3530805,"0,784",NA,NA,NA
"2015","MUNICIPIO",3530904,"0,719",NA,NA,NA
"2015","MUNICIPIO",3531001,"0,772",NA,NA,NA
"2015","MUNICIPIO",3531100,"0,754",NA,NA,NA
"2015","MUNICIPIO",3531209,"0,759",NA,NA,NA
"2015","MUNICIPIO",3531308,"0,768",NA,NA,NA
"2015","MUNICIPIO",3531407,"0,785",NA,NA,NA
"2015","MUNICIPIO",3531506,"0,753",NA,NA,NA
"2015","MUNICIPIO",3531605,"0,675",NA,NA,NA
"2015","MUNICIPIO",3531605,"0,741",NA,NA,NA
"2015","MUNICIPIO",3531803,"0,733",NA,NA,NA
"2015","MUNICIPIO",3531704,"0,71",NA,NA,NA
"2015","MUNICIPIO",3531902,"0,712",NA,NA,NA
"2015","MUNICIPIO",3532009,"0,715",NA,NA,NA
"2015","MUNICIPIO",3532058,"0,741",NA,NA,NA
"2015","MUNICIPIO",3532108,"0,726",NA,NA,NA
"2015","MUNICIPIO",3532157,"0,714",NA,NA,NA
"2015","MUNICIPIO",3532207,"0,718",NA,NA,NA
"2015","MUNICIPIO",3532306,"0,655",NA,NA,NA
"2015","MUNICIPIO",3532405,"0,678",NA,NA,NA
"2015","MUNICIPIO",3532504,"0,754",NA,NA,NA
"2015","MUNICIPIO",3532603,"0,751",NA,NA,NA
"2015","MUNICIPIO",3532702,"0,713",NA,NA,NA
"2015","MUNICIPIO",3532801,"0,738",NA,NA,NA
"2015","MUNICIPIO",3532827,"0,651",NA,NA,NA
"2015","MUNICIPIO",3532843,"0,715",NA,NA,NA
"2015","MUNICIPIO",3532868,"0,756",NA,NA,NA
"2015","MUNICIPIO",3532900,"0,765",NA,NA,NA
"2015","MUNICIPIO",3533007,"0,739",NA,NA,NA
"2015","MUNICIPIO",3533106,"0,726",NA,NA,NA
"2015","MUNICIPIO",3533205,"0,735",NA,NA,NA
"2015","MUNICIPIO",3533304,"0,743",NA,NA,NA
"2015","MUNICIPIO",3533403,"0,791",NA,NA,NA
"2015","MUNICIPIO",3533254,"0,719",NA,NA,NA
"2015","MUNICIPIO",3533502,"0,597",NA,NA,NA
"2015","MUNICIPIO",3533502,"0,706",NA,NA,NA
"2015","MUNICIPIO",3533502,"0,753",NA,NA,NA
"2015","MUNICIPIO",3533601,"0,746",NA,NA,NA
"2015","MUNICIPIO",3533700,"0,717",NA,NA,NA
"2015","MUNICIPIO",3533809,"0,73",NA,NA,NA
"2015","MUNICIPIO",3533908,"0,773",NA,NA,NA
"2015","MUNICIPIO",3534005,"0,738",NA,NA,NA
"2015","MUNICIPIO",3534104,"0,77",NA,NA,NA
"2015","MUNICIPIO",3534203,"0,767",NA,NA,NA
"2015","MUNICIPIO",3534302,"0,78",NA,NA,NA
"2015","MUNICIPIO",3534401,"0,776",NA,NA,NA
"2015","MUNICIPIO",3534500,"0,749",NA,NA,NA
"2015","MUNICIPIO",3534609,"0,762",NA,NA,NA
"2015","MUNICIPIO",3534708,"0,778",NA,NA,NA
"2015","MUNICIPIO",3534807,"0,695",NA,NA,NA
"2015","MUNICIPIO",3534807,"0,692",NA,NA,NA
"2015","MUNICIPIO",3534757,"0,77",NA,NA,NA
"2015","MUNICIPIO",3534906,"0,725",NA,NA,NA
"2015","MUNICIPIO",3535002,"0,558",NA,NA,NA
"2015","MUNICIPIO",3535002,"0,732",NA,NA,NA
"2015","MUNICIPIO",3535101,"0,722",NA,NA,NA
"2015","MUNICIPIO",3535200,"0,753",NA,NA,NA
"2015","MUNICIPIO",3535309,"0,639",NA,NA,NA
"2015","MUNICIPIO",3535309,"0,746",NA,NA,NA
"2015","MUNICIPIO",3535408,"0,722",NA,NA,NA
"2015","MUNICIPIO",3535507,"0,762",NA,NA,NA
"2015","MUNICIPIO",3535606,"0,719",NA,NA,NA
"2015","MUNICIPIO",3535705,"0,7",NA,NA,NA
"2015","MUNICIPIO",3535705,"0,749",NA,NA,NA
"2015","MUNICIPIO",3535804,"0,717",NA,NA,NA
"2015","MUNICIPIO",3535903,"0,732",NA,NA,NA
"2015","MUNICIPIO",3536000,"0,737",NA,NA,NA
