"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"2015","MUNICIPIO",3520707,"3969",3903,1920,1983,659,1959,1285,334,969,680
"2015","MUNICIPIO",3520806,"3881",3630,1821,1809,747,1942,941,370,960,479
"2015","MUNICIPIO",3520905,"14579",13663,6893,6770,3221,7315,3127,1591,3536,1643
"2015","MUNICIPIO",3521002,"33367",28300,15209,13091,6870,16425,5005,3390,7255,2446
"2015","MUNICIPIO",3521101,"6914",6016,3110,2906,1462,3352,1202,740,1577,589
"2015","MUNICIPIO",3521150,"5022",4463,2267,2196,898,2364,1201,425,1179,592
"2015","MUNICIPIO",3521200,"4333",4299,2171,2128,1204,2181,914,621,1062,445
"2015","MUNICIPIO",3521309,"15567",14148,7210,6938,3341,8100,2707,1689,3838,1411
"2015","MUNICIPIO",3521408,"22557",20029,10046,9983,4211,11650,4168,2058,5766,2159
"2015","MUNICIPIO",3521507,"7774",7275,3803,3472,1503,3979,1793,762,1808,902
"2015","MUNICIPIO",3521606,"8187",7789,4532,3257,1195,4494,2100,566,1602,1089
"2015","MUNICIPIO",3521705,"18015",17858,9016,8842,4337,9402,4119,2102,4686,2054
"2015","MUNICIPIO",3521804,"26042",24008,12761,11247,5565,13493,4950,2767,6115,2365
"2015","MUNICIPIO",3521903,"15177",14556,7349,7207,2519,7713,4324,1184,3771,2252
"2015","MUNICIPIO",3522000,"3606",3246,1705,1541,730,1696,820,350,792,399
"2015","MUNICIPIO",3522109,"96222",87057,42192,44865,21461,42697,22899,10530,22086,12249
"2015","MUNICIPIO",3522158,"3337",3228,1687,1541,849,1516,863,382,748,411
"2015","MUNICIPIO",3522208,"167236",152614,76270,76344,39156,89119,24339,19244,44288,12812
"2015","MUNICIPIO",3522307,"157016",144377,72167,72210,33796,79522,31059,16534,38903,16773
"2015","MUNICIPIO",3522406,"92710",87753,43243,44510,22532,47880,17341,11014,24438,9058
"2015","MUNICIPIO",3522505,"223404",200769,98746,102023,55242,115861,29666,27045,58979,15999
"2015","MUNICIPIO",3522604,"72967",68537,33950,34587,12676,37675,18186,6261,18770,9556
"2015","MUNICIPIO",3522653,"4135",3880,2002,1878,1183,1942,755,579,954,345
"2015","MUNICIPIO",3522703,"42343",40051,19867,20184,7629,22039,10383,3843,10835,5506
"2015","MUNICIPIO",3522802,"15115",14549,7280,7269,3462,7312,3775,1713,3619,1937
"2015","MUNICIPIO",3522901,"13328",12173,6150,6023,2756,6617,2800,1326,3230,1467
"2015","MUNICIPIO",3523008,"4717",4357,2257,2100,986,2349,1022,474,1123,503
"2015","MUNICIPIO",3523107,"352801",321770,158542,163228,89433,184645,47692,43839,94161,25228
"2015","MUNICIPIO",3523206,"50105",47934,23523,24411,11817,25626,10491,5882,12987,5542
"2015","MUNICIPIO",3523305,"16759",15471,7794,7677,4478,7863,3130,2195,3946,1536
"2015","MUNICIPIO",3523404,"113284",101471,50147,51324,20953,58170,22348,10349,29223,11752
"2015","MUNICIPIO",3523503,"19738",18052,9230,8822,4703,10053,3296,2263,4861,1698
"2015","MUNICIPIO",3523602,"17160",15524,9154,6370,2875,9752,2897,1397,3488,1485
"2015","MUNICIPIO",3523701,"6321",5914,3013,2901,1489,3081,1344,733,1520,648
"2015","MUNICIPIO",3523800,"7831",7546,3908,3638,1601,4133,1812,766,1954,918
"2015","MUNICIPIO",3523909,"167095",154147,76219,77928,33738,88006,32403,16443,44112,17373
"2015","MUNICIPIO",3524006,"54128",44859,22793,22066,10761,26526,7572,5235,13007,3824
"2015","MUNICIPIO",3524105,"40994",38695,18874,19821,7898,20741,10056,3918,10494,5409
"2015","MUNICIPIO",3524204,"6882",6592,3338,3254,1360,3676,1556,681,1756,817
"2015","MUNICIPIO",3524303,"75820",71662,34794,36868,14129,39376,18157,7068,19864,9936
"2015","MUNICIPIO",3524402,"226539",211214,103092,108122,46819,117752,46643,22987,60041,25094
"2015","MUNICIPIO",3524501,"6486",5657,2892,2765,1183,3305,1169,569,1617,579
"2015","MUNICIPIO",3524600,"17851",17208,8777,8431,4548,8936,3724,2174,4421,1836
"2015","MUNICIPIO",3524709,"51907",44311,22004,22307,9410,25782,9119,4610,12886,4811
"2015","MUNICIPIO",3524808,"48922",47012,22986,24026,8380,25315,13317,4052,12853,7121
"2015","MUNICIPIO",3524907,"6092",5349,2769,2580,1233,2919,1197,622,1402,556
"2015","MUNICIPIO",3525003,"118832",108344,53063,55281,27126,64464,16754,13309,32998,8974
"2015","MUNICIPIO",3525102,"41799",37661,18949,18712,8850,20487,8324,4239,10107,4366
"2015","MUNICIPIO",3525201,"27473",23847,12005,11842,5574,13273,5000,2830,6507,2505
"2015","MUNICIPIO",3525300,"143283",131040,64214,66826,26513,72547,31980,12864,36540,17422
"2015","MUNICIPIO",3525409,"3216",3160,1622,1538,798,1721,641,386,833,319
"2015","MUNICIPIO",3525508,"12725",11768,5927,5841,2342,6331,3095,1135,3152,1554
"2015","MUNICIPIO",3525607,"4416",4150,2098,2052,973,2347,830,454,1167,431
"2015","MUNICIPIO",3525706,"35538",32763,16351,16412,6646,18324,7793,3271,9111,4030
"2015","MUNICIPIO",3525805,"4687",4430,2179,2251,1055,2312,1063,537,1165,549
"2015","MUNICIPIO",3525854,"3142",2798,1444,1354,601,1604,593,292,761,301
"2015","MUNICIPIO",3525904,"401896",370126,180049,190077,70862,207173,92091,34782,104758,50537
"2015","MUNICIPIO",3526001,"20066",18726,9921,8805,3346,10225,5155,1605,4523,2677
"2015","MUNICIPIO",3526100,"19359",19246,9740,9506,5216,9485,4545,2481,4847,2178
"2015","MUNICIPIO",3526209,"30642",28737,14543,14194,7749,15331,5657,3772,7678,2744
"2015","MUNICIPIO",3526308,"4954",4841,2479,2362,1002,2447,1392,501,1201,660
"2015","MUNICIPIO",3526407,"27384",25251,12465,12786,5294,13474,6483,2605,6727,3454
"2015","MUNICIPIO",3526506,"10590",8779,6183,2596,1011,6251,1517,479,1369,748
"2015","MUNICIPIO",3526605,"7052",6590,3320,3270,1737,3652,1201,818,1834,618
"2015","MUNICIPIO",3526704,"99388",91756,46030,45726,20605,51927,19224,10114,25401,10211
"2015","MUNICIPIO",3526803,"66131",61428,30498,30930,13620,34744,13064,6774,17279,6877
"2015","MUNICIPIO",3526902,"296440",276022,135628,140394,56847,155303,63872,27823,78595,33976
"2015","MUNICIPIO",3527009,"7485",6712,3326,3386,1420,3633,1659,691,1846,849
"2015","MUNICIPIO",3527108,"76092",71432,34681,36751,13901,38930,18601,6727,19593,10431
"2015","MUNICIPIO",3527207,"87178",82537,39858,42679,18113,44841,19583,8872,22892,10915
"2015","MUNICIPIO",3527256,"2249",2128,1107,1021,382,1137,609,179,538,304
"2015","MUNICIPIO",3527306,"43862",37125,18801,18324,8192,23055,5878,4036,11225,3063
"2015","MUNICIPIO",3527405,"21196",19882,10559,9323,3830,10959,5093,1789,4884,2650
"2015","MUNICIPIO",3527504,"2364",2249,1118,1131,517,1088,644,256,526,349
"2015","MUNICIPIO",3527603,"13378",11286,5832,5454,2885,6575,1826,1331,3189,934
"2015","MUNICIPIO",3527702,"5511",5030,2612,2418,1047,2800,1183,499,1297,622
"2015","MUNICIPIO",3527801,"4549",4353,2121,2232,1039,2278,1036,538,1153,541
"2015","MUNICIPIO",3527900,"2729",2714,1354,1360,575,1433,706,267,717,376
"2015","MUNICIPIO",3528007,"17013",16259,8152,8107,3730,9024,3505,1795,4497,1815
"2015","MUNICIPIO",3528106,"8033",7663,3880,3783,1328,4000,2335,640,1939,1204
"2015","MUNICIPIO",3528205,"3746",3664,1837,1827,668,1864,1132,323,939,565
"2015","MUNICIPIO",3528304,"3215",3200,1651,1549,549,1656,995,245,801,503
"2015","MUNICIPIO",3528403,"46015",43223,21538,21685,10358,24043,8822,5022,12108,4555
"2015","MUNICIPIO",3528502,"92323",80956,40975,39981,18990,45547,16419,9037,22841,8103
"2015","MUNICIPIO",3528601,"9592",8992,4519,4473,1921,4814,2257,927,2390,1156
"2015","MUNICIPIO",3528700,"5435",4812,3048,1764,775,3121,916,368,955,441
"2015","MUNICIPIO",3528809,"13913",13332,6663,6669,2812,7347,3173,1413,3608,1648
"2015","MUNICIPIO",3528858,"2885",2633,1349,1284,495,1423,715,242,695,347
