"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",354020,45118,45118
"2015","MUNICIPIO",354025,3509,3466
"2015","MUNICIPIO",354030,2593,2593
"2015","MUNICIPIO",354040,4060,3969
"2015","MUNICIPIO",354050,6601,3313
"2015","MUNICIPIO",354060,51928,51928
"2015","MUNICIPIO",354070,53779,52703
"2015","MUNICIPIO",354075,NA,NA
"2015","MUNICIPIO",354080,16709,16709
"2015","MUNICIPIO",354085,1447,3087
"2015","MUNICIPIO",354090,19450,18100
"2015","MUNICIPIO",354100,272502,202433
"2015","MUNICIPIO",354105,4261,4218
"2015","MUNICIPIO",354110,3640,3557
"2015","MUNICIPIO",354120,10917,9926
"2015","MUNICIPIO",354130,40417,35522
"2015","MUNICIPIO",354140,222192,222192
"2015","MUNICIPIO",354150,39400,39100
"2015","MUNICIPIO",354160,34791,32380
"2015","MUNICIPIO",354165,1105,640
"2015","MUNICIPIO",354170,12259,12078
"2015","MUNICIPIO",354180,3109,3092
"2015","MUNICIPIO",354190,9997,6828
"2015","MUNICIPIO",354200,6425,6238
"2015","MUNICIPIO",354210,7680,7680
"2015","MUNICIPIO",354220,26701,29778
"2015","MUNICIPIO",354230,1731,1429
"2015","MUNICIPIO",354240,18991,18610
"2015","MUNICIPIO",354250,8640,8640
"2015","MUNICIPIO",354260,50256,43916
"2015","MUNICIPIO",354270,6726,6451
"2015","MUNICIPIO",354280,2269,607
"2015","MUNICIPIO",354290,11936,11864
"2015","MUNICIPIO",354300,11816,8230
"2015","MUNICIPIO",354310,3406,3381
"2015","MUNICIPIO",354323,2003,1971
"2015","MUNICIPIO",354320,3101,2952
"2015","MUNICIPIO",354325,6452,2863
"2015","MUNICIPIO",354330,107577,87439
"2015","MUNICIPIO",354340,664432,651144
"2015","MUNICIPIO",354360,3006,2820
"2015","MUNICIPIO",354370,8770,8770
"2015","MUNICIPIO",354380,NA,NA
"2015","MUNICIPIO",354390,199961,199961
"2015","MUNICIPIO",354400,31932,31932
"2015","MUNICIPIO",354410,41206,25269
"2015","MUNICIPIO",354420,8794,8703
"2015","MUNICIPIO",354350,4573,4005
"2015","MUNICIPIO",354425,14955,14877
"2015","MUNICIPIO",354430,9458,9211
"2015","MUNICIPIO",354440,2670,2597
"2015","MUNICIPIO",354450,2933,2065
"2015","MUNICIPIO",354460,4825,4825
"2015","MUNICIPIO",354470,2094,1972
"2015","MUNICIPIO",354480,5921,5921
"2015","MUNICIPIO",354490,11225,10164
"2015","MUNICIPIO",354500,10403,8557
