"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",352190,15177,15177
"2015","MUNICIPIO",352200,2600,3064
"2015","MUNICIPIO",352210,87633,31887
"2015","MUNICIPIO",352215,2010,685
"2015","MUNICIPIO",352220,151003,46044
"2015","MUNICIPIO",352230,142781,133015
"2015","MUNICIPIO",352240,80466,70608
"2015","MUNICIPIO",352250,209883,135198
"2015","MUNICIPIO",352260,72247,72247
"2015","MUNICIPIO",352265,2493,1507
"2015","MUNICIPIO",352270,36325,36325
"2015","MUNICIPIO",352280,12408,10460
"2015","MUNICIPIO",352290,NA,NA
"2015","MUNICIPIO",352300,3760,3000
"2015","MUNICIPIO",352310,344337,233516
"2015","MUNICIPIO",352320,43460,38983
"2015","MUNICIPIO",352330,6405,4386
"2015","MUNICIPIO",352340,98438,92456
"2015","MUNICIPIO",352350,15759,15589
"2015","MUNICIPIO",352360,12562,14869
"2015","MUNICIPIO",352370,5423,5362
"2015","MUNICIPIO",352380,6719,6530
"2015","MUNICIPIO",352390,154905,154905
"2015","MUNICIPIO",352400,42301,37250
"2015","MUNICIPIO",352410,40994,40994
"2015","MUNICIPIO",352420,5525,5863
"2015","MUNICIPIO",352430,75041,75041
"2015","MUNICIPIO",352440,223410,203519
"2015","MUNICIPIO",352450,NA,NA
"2015","MUNICIPIO",352460,11662,9477
"2015","MUNICIPIO",352470,50410,47849
"2015","MUNICIPIO",352480,47931,47086
"2015","MUNICIPIO",352490,4418,2984
"2015","MUNICIPIO",352500,118832,84354
"2015","MUNICIPIO",352510,41799,41799
"2015","MUNICIPIO",352520,16857,4222
"2015","MUNICIPIO",352530,142056,142056
"2015","MUNICIPIO",352540,3039,2964
"2015","MUNICIPIO",352550,8669,7509
"2015","MUNICIPIO",352560,3747,3747
"2015","MUNICIPIO",352570,32135,32089
"2015","MUNICIPIO",352580,NA,NA
"2015","MUNICIPIO",352585,3142,1823
"2015","MUNICIPIO",352590,393057,393057
"2015","MUNICIPIO",352600,16501,16501
"2015","MUNICIPIO",352610,12656,9009
"2015","MUNICIPIO",352620,13235,4144
"2015","MUNICIPIO",352630,3112,3017
"2015","MUNICIPIO",352640,24097,22878
"2015","MUNICIPIO",352650,4950,4660
"2015","MUNICIPIO",352660,6572,4162
"2015","MUNICIPIO",352670,97992,97992
"2015","MUNICIPIO",352680,64649,64649
"2015","MUNICIPIO",352690,287594,287594
"2015","MUNICIPIO",352700,7485,4801
"2015","MUNICIPIO",352710,76092,76092
"2015","MUNICIPIO",352720,85054,83667
"2015","MUNICIPIO",352725,1844,1822
"2015","MUNICIPIO",352730,43862,38072
"2015","MUNICIPIO",352740,18605,18237
"2015","MUNICIPIO",352750,1893,1860
"2015","MUNICIPIO",352760,12878,12878
"2015","MUNICIPIO",352770,4843,4817
"2015","MUNICIPIO",352780,4141,4096
"2015","MUNICIPIO",352790,2383,2317
"2015","MUNICIPIO",352800,16452,16452
"2015","MUNICIPIO",352810,NA,NA
"2015","MUNICIPIO",352820,2865,2837
"2015","MUNICIPIO",352830,2805,2685
"2015","MUNICIPIO",352840,46015,36099
"2015","MUNICIPIO",352850,51981,21371
"2015","MUNICIPIO",352860,8590,8590
"2015","MUNICIPIO",352870,2190,2142
